zip,city,state_name,state_id,county_name
00601,Adjuntas,Puerto Rico,PR,Adjuntas
00602,Aguada,Puerto Rico,PR,Aguada
00603,Aguadilla,Puerto Rico,PR,Aguadilla
00606,Maricao,Puerto Rico,PR,Maricao
00610,Anasco,Puerto Rico,PR,Añasco
00612,Arecibo,Puerto Rico,PR,Arecibo
00616,Bajadero,Puerto Rico,PR,Arecibo
00617,Barceloneta,Puerto Rico,PR,Barceloneta
00622,Boqueron,Puerto Rico,PR,Cabo Rojo
00623,Cabo Rojo,Puerto Rico,PR,Cabo Rojo
00624,Penuelas,Puerto Rico,PR,Peñuelas
00627,Camuy,Puerto Rico,PR,Camuy
00631,Castaner,Puerto Rico,PR,Lares
00637,Sabana Grande,Puerto Rico,PR,Sabana Grande
00638,Ciales,Puerto Rico,PR,Ciales
00641,Utuado,Puerto Rico,PR,Utuado
00646,Dorado,Puerto Rico,PR,Dorado
00647,Ensenada,Puerto Rico,PR,Guánica
00650,Florida,Puerto Rico,PR,Florida
00652,Garrochales,Puerto Rico,PR,Arecibo
00653,Guanica,Puerto Rico,PR,Guánica
00656,Guayanilla,Puerto Rico,PR,Guayanilla
00659,Hatillo,Puerto Rico,PR,Hatillo
00660,Hormigueros,Puerto Rico,PR,Hormigueros
00662,Isabela,Puerto Rico,PR,Isabela
00664,Jayuya,Puerto Rico,PR,Jayuya
00667,Lajas,Puerto Rico,PR,Lajas
00669,Lares,Puerto Rico,PR,Lares
00670,Las Marias,Puerto Rico,PR,Las Marías
00674,Manati,Puerto Rico,PR,Manatí
00676,Moca,Puerto Rico,PR,Moca
00677,Rincon,Puerto Rico,PR,Rincón
00678,Quebradillas,Puerto Rico,PR,Quebradillas
00680,Mayaguez,Puerto Rico,PR,Mayagüez
00682,Mayaguez,Puerto Rico,PR,Mayagüez
00683,San German,Puerto Rico,PR,San Germán
00685,San Sebastian,Puerto Rico,PR,San Sebastián
00687,Morovis,Puerto Rico,PR,Morovis
00688,Sabana Hoyos,Puerto Rico,PR,Arecibo
00690,San Antonio,Puerto Rico,PR,Aguadilla
00692,Vega Alta,Puerto Rico,PR,Vega Alta
00693,Vega Baja,Puerto Rico,PR,Vega Baja
00694,Vega Baja,Puerto Rico,PR,Vega Baja
00698,Yauco,Puerto Rico,PR,Yauco
00703,Aguas Buenas,Puerto Rico,PR,Aguas Buenas
00704,Aguirre,Puerto Rico,PR,Salinas
00705,Aibonito,Puerto Rico,PR,Aibonito
00707,Maunabo,Puerto Rico,PR,Maunabo
00714,Arroyo,Puerto Rico,PR,Arroyo
00715,Mercedita,Puerto Rico,PR,Ponce
00716,Ponce,Puerto Rico,PR,Ponce
00717,Ponce,Puerto Rico,PR,Ponce
00718,Naguabo,Puerto Rico,PR,Naguabo
00719,Naranjito,Puerto Rico,PR,Naranjito
00720,Orocovis,Puerto Rico,PR,Orocovis
00723,Patillas,Puerto Rico,PR,Patillas
00725,Caguas,Puerto Rico,PR,Caguas
00727,Caguas,Puerto Rico,PR,Caguas
00728,Ponce,Puerto Rico,PR,Ponce
00729,Canovanas,Puerto Rico,PR,Canóvanas
00730,Ponce,Puerto Rico,PR,Ponce
00731,Ponce,Puerto Rico,PR,Ponce
00735,Ceiba,Puerto Rico,PR,Ceiba
00736,Cayey,Puerto Rico,PR,Cayey
00738,Fajardo,Puerto Rico,PR,Fajardo
00739,Cidra,Puerto Rico,PR,Cidra
00740,Puerto Real,Puerto Rico,PR,Fajardo
00741,Punta Santiago,Puerto Rico,PR,Humacao
00745,Rio Grande,Puerto Rico,PR,Río Grande
00751,Salinas,Puerto Rico,PR,Salinas
00754,San Lorenzo,Puerto Rico,PR,San Lorenzo
00757,Santa Isabel,Puerto Rico,PR,Santa Isabel
00765,Vieques,Puerto Rico,PR,Vieques
00766,Villalba,Puerto Rico,PR,Villalba
00767,Yabucoa,Puerto Rico,PR,Yabucoa
00769,Coamo,Puerto Rico,PR,Coamo
00771,Las Piedras,Puerto Rico,PR,Las Piedras
00772,Loiza,Puerto Rico,PR,Loíza
00773,Luquillo,Puerto Rico,PR,Luquillo
00775,Culebra,Puerto Rico,PR,Culebra
00777,Juncos,Puerto Rico,PR,Juncos
00778,Gurabo,Puerto Rico,PR,Gurabo
00780,Coto Laurel,Puerto Rico,PR,Ponce
00782,Comerio,Puerto Rico,PR,Comerío
00783,Corozal,Puerto Rico,PR,Corozal
00784,Guayama,Puerto Rico,PR,Guayama
00786,La Plata,Puerto Rico,PR,Aibonito
00791,Humacao,Puerto Rico,PR,Humacao
00794,Barranquitas,Puerto Rico,PR,Barranquitas
00795,Juana Diaz,Puerto Rico,PR,Juana Díaz
00901,San Juan,Puerto Rico,PR,San Juan
00906,San Juan,Puerto Rico,PR,San Juan
00907,San Juan,Puerto Rico,PR,San Juan
00909,San Juan,Puerto Rico,PR,San Juan
00911,San Juan,Puerto Rico,PR,San Juan
00912,San Juan,Puerto Rico,PR,San Juan
00913,San Juan,Puerto Rico,PR,San Juan
00915,San Juan,Puerto Rico,PR,San Juan
00917,San Juan,Puerto Rico,PR,San Juan
00918,San Juan,Puerto Rico,PR,San Juan
00920,San Juan,Puerto Rico,PR,San Juan
00921,San Juan,Puerto Rico,PR,San Juan
00923,San Juan,Puerto Rico,PR,San Juan
00924,San Juan,Puerto Rico,PR,San Juan
00925,San Juan,Puerto Rico,PR,San Juan
00926,San Juan,Puerto Rico,PR,San Juan
00927,San Juan,Puerto Rico,PR,San Juan
00934,Fort Buchanan,Puerto Rico,PR,Guaynabo
00936,San Juan,Puerto Rico,PR,San Juan
00949,Toa Baja,Puerto Rico,PR,Toa Baja
00950,Toa Baja,Puerto Rico,PR,Dorado
00951,Toa Baja,Puerto Rico,PR,Toa Baja
00952,Sabana Seca,Puerto Rico,PR,Toa Baja
00953,Toa Alta,Puerto Rico,PR,Toa Alta
00956,Bayamon,Puerto Rico,PR,Bayamón
00957,Bayamon,Puerto Rico,PR,Bayamón
00959,Bayamon,Puerto Rico,PR,Bayamón
00960,Bayamon,Puerto Rico,PR,Bayamón
00961,Bayamon,Puerto Rico,PR,Bayamón
00962,Catano,Puerto Rico,PR,Cataño
00965,Guaynabo,Puerto Rico,PR,Guaynabo
00966,Guaynabo,Puerto Rico,PR,Guaynabo
00968,Guaynabo,Puerto Rico,PR,Guaynabo
00969,Guaynabo,Puerto Rico,PR,Guaynabo
00971,Guaynabo,Puerto Rico,PR,Guaynabo
00976,Trujillo Alto,Puerto Rico,PR,Trujillo Alto
00979,Carolina,Puerto Rico,PR,Carolina
00982,Carolina,Puerto Rico,PR,Carolina
00983,Carolina,Puerto Rico,PR,Carolina
00985,Carolina,Puerto Rico,PR,Carolina
00987,Carolina,Puerto Rico,PR,Carolina
01001,Agawam,Massachusetts,MA,Hampden
01002,Amherst,Massachusetts,MA,Hampshire
01003,Amherst,Massachusetts,MA,Hampshire
01005,Barre,Massachusetts,MA,Worcester
01007,Belchertown,Massachusetts,MA,Hampshire
01008,Blandford,Massachusetts,MA,Hampden
01009,Bondsville,Massachusetts,MA,Hampden
01010,Brimfield,Massachusetts,MA,Hampden
01011,Chester,Massachusetts,MA,Hampden
01012,Chesterfield,Massachusetts,MA,Hampshire
01013,Chicopee,Massachusetts,MA,Hampden
01020,Chicopee,Massachusetts,MA,Hampden
01022,Chicopee,Massachusetts,MA,Hampden
01026,Cummington,Massachusetts,MA,Hampshire
01027,Easthampton,Massachusetts,MA,Hampshire
01028,East Longmeadow,Massachusetts,MA,Hampden
01029,East Otis,Massachusetts,MA,Berkshire
01030,Feeding Hills,Massachusetts,MA,Hampden
01031,Gilbertville,Massachusetts,MA,Worcester
01032,Goshen,Massachusetts,MA,Hampshire
01033,Granby,Massachusetts,MA,Hampshire
01034,Granville,Massachusetts,MA,Hampden
01035,Hadley,Massachusetts,MA,Hampshire
01036,Hampden,Massachusetts,MA,Hampden
01037,Hardwick,Massachusetts,MA,Worcester
01038,Hatfield,Massachusetts,MA,Hampshire
01039,Haydenville,Massachusetts,MA,Hampshire
01040,Holyoke,Massachusetts,MA,Hampden
01050,Huntington,Massachusetts,MA,Hampshire
01053,Leeds,Massachusetts,MA,Hampshire
01054,Leverett,Massachusetts,MA,Franklin
01056,Ludlow,Massachusetts,MA,Hampden
01057,Monson,Massachusetts,MA,Hampden
01060,Northampton,Massachusetts,MA,Hampshire
01062,Florence,Massachusetts,MA,Hampshire
01063,Northampton,Massachusetts,MA,Hampshire
01066,North Hatfield,Massachusetts,MA,Hampshire
01068,Oakham,Massachusetts,MA,Worcester
01069,Palmer,Massachusetts,MA,Hampden
01070,Plainfield,Massachusetts,MA,Hampshire
01071,Russell,Massachusetts,MA,Hampden
01072,Shutesbury,Massachusetts,MA,Franklin
01073,Southampton,Massachusetts,MA,Hampshire
01074,South Barre,Massachusetts,MA,Worcester
01075,South Hadley,Massachusetts,MA,Hampshire
01077,Southwick,Massachusetts,MA,Hampden
01079,Thorndike,Massachusetts,MA,Hampden
01080,Three Rivers,Massachusetts,MA,Hampden
01081,Wales,Massachusetts,MA,Hampden
01082,Ware,Massachusetts,MA,Hampshire
01083,Warren,Massachusetts,MA,Worcester
01084,West Chesterfield,Massachusetts,MA,Hampshire
01085,Westfield,Massachusetts,MA,Hampden
01086,Westfield,Massachusetts,MA,Hampden
01088,West Hatfield,Massachusetts,MA,Hampshire
01089,West Springfield,Massachusetts,MA,Hampden
01092,West Warren,Massachusetts,MA,Worcester
01093,Whately,Massachusetts,MA,Franklin
01094,Wheelwright,Massachusetts,MA,Worcester
01095,Wilbraham,Massachusetts,MA,Hampden
01096,Williamsburg,Massachusetts,MA,Hampshire
01097,Woronoco,Massachusetts,MA,Hampden
01098,Worthington,Massachusetts,MA,Hampshire
01103,Springfield,Massachusetts,MA,Hampden
01104,Springfield,Massachusetts,MA,Hampden
01105,Springfield,Massachusetts,MA,Hampden
01106,Longmeadow,Massachusetts,MA,Hampden
01107,Springfield,Massachusetts,MA,Hampden
01108,Springfield,Massachusetts,MA,Hampden
01109,Springfield,Massachusetts,MA,Hampden
01118,Springfield,Massachusetts,MA,Hampden
01119,Springfield,Massachusetts,MA,Hampden
01128,Springfield,Massachusetts,MA,Hampden
01129,Springfield,Massachusetts,MA,Hampden
01151,Indian Orchard,Massachusetts,MA,Hampden
01199,Springfield,Massachusetts,MA,Hampden
01201,Pittsfield,Massachusetts,MA,Berkshire
01220,Adams,Massachusetts,MA,Berkshire
01222,Ashley Falls,Massachusetts,MA,Berkshire
01223,Becket,Massachusetts,MA,Berkshire
01224,Berkshire,Massachusetts,MA,Berkshire
01225,Cheshire,Massachusetts,MA,Berkshire
01226,Dalton,Massachusetts,MA,Berkshire
01229,Glendale,Massachusetts,MA,Berkshire
01230,Great Barrington,Massachusetts,MA,Berkshire
01235,Hinsdale,Massachusetts,MA,Berkshire
01236,Housatonic,Massachusetts,MA,Berkshire
01237,Lanesborough,Massachusetts,MA,Berkshire
01238,Lee,Massachusetts,MA,Berkshire
01240,Lenox,Massachusetts,MA,Berkshire
01242,Lenox Dale,Massachusetts,MA,Berkshire
01243,Middlefield,Massachusetts,MA,Hampshire
01244,Mill River,Massachusetts,MA,Berkshire
01245,Monterey,Massachusetts,MA,Berkshire
01247,North Adams,Massachusetts,MA,Berkshire
01253,Otis,Massachusetts,MA,Berkshire
01254,Richmond,Massachusetts,MA,Berkshire
01255,Sandisfield,Massachusetts,MA,Berkshire
01256,Savoy,Massachusetts,MA,Berkshire
01257,Sheffield,Massachusetts,MA,Berkshire
01258,South Egremont,Massachusetts,MA,Berkshire
01259,Southfield,Massachusetts,MA,Berkshire
01260,South Lee,Massachusetts,MA,Berkshire
01262,Stockbridge,Massachusetts,MA,Berkshire
01264,Tyringham,Massachusetts,MA,Berkshire
01266,West Stockbridge,Massachusetts,MA,Berkshire
01267,Williamstown,Massachusetts,MA,Berkshire
01270,Windsor,Massachusetts,MA,Berkshire
01301,Greenfield,Massachusetts,MA,Franklin
01330,Ashfield,Massachusetts,MA,Franklin
01331,Athol,Massachusetts,MA,Worcester
01337,Bernardston,Massachusetts,MA,Franklin
01338,Buckland,Massachusetts,MA,Franklin
01339,Charlemont,Massachusetts,MA,Franklin
01340,Colrain,Massachusetts,MA,Franklin
01341,Conway,Massachusetts,MA,Franklin
01342,Deerfield,Massachusetts,MA,Franklin
01343,Drury,Massachusetts,MA,Berkshire
01344,Erving,Massachusetts,MA,Franklin
01346,Heath,Massachusetts,MA,Franklin
01347,Lake Pleasant,Massachusetts,MA,Franklin
01349,Millers Falls,Massachusetts,MA,Franklin
01350,Monroe Bridge,Massachusetts,MA,Franklin
01351,Montague,Massachusetts,MA,Franklin
01354,Gill,Massachusetts,MA,Franklin
01355,New Salem,Massachusetts,MA,Franklin
01360,Northfield,Massachusetts,MA,Franklin
01364,Orange,Massachusetts,MA,Franklin
01366,Petersham,Massachusetts,MA,Worcester
01367,Rowe,Massachusetts,MA,Franklin
01368,Royalston,Massachusetts,MA,Worcester
01370,Shelburne Falls,Massachusetts,MA,Franklin
01373,South Deerfield,Massachusetts,MA,Franklin
01375,Sunderland,Massachusetts,MA,Franklin
01376,Turners Falls,Massachusetts,MA,Franklin
01378,Warwick,Massachusetts,MA,Franklin
01379,Wendell,Massachusetts,MA,Franklin
01420,Fitchburg,Massachusetts,MA,Worcester
01430,Ashburnham,Massachusetts,MA,Worcester
01431,Ashby,Massachusetts,MA,Middlesex
01432,Ayer,Massachusetts,MA,Middlesex
01434,Devens,Massachusetts,MA,Worcester
01436,Baldwinville,Massachusetts,MA,Worcester
01438,East Templeton,Massachusetts,MA,Worcester
01440,Gardner,Massachusetts,MA,Worcester
01450,Groton,Massachusetts,MA,Middlesex
01451,Harvard,Massachusetts,MA,Worcester
01452,Hubbardston,Massachusetts,MA,Worcester
01453,Leominster,Massachusetts,MA,Worcester
01460,Littleton,Massachusetts,MA,Middlesex
01462,Lunenburg,Massachusetts,MA,Worcester
01463,Pepperell,Massachusetts,MA,Middlesex
01464,Shirley,Massachusetts,MA,Middlesex
01467,Still River,Massachusetts,MA,Worcester
01468,Templeton,Massachusetts,MA,Worcester
01469,Townsend,Massachusetts,MA,Middlesex
01473,Westminster,Massachusetts,MA,Worcester
01474,West Townsend,Massachusetts,MA,Middlesex
01475,Winchendon,Massachusetts,MA,Worcester
01501,Auburn,Massachusetts,MA,Worcester
01503,Berlin,Massachusetts,MA,Worcester
01504,Blackstone,Massachusetts,MA,Worcester
01505,Boylston,Massachusetts,MA,Worcester
01506,Brookfield,Massachusetts,MA,Worcester
01507,Charlton,Massachusetts,MA,Worcester
01510,Clinton,Massachusetts,MA,Worcester
01515,East Brookfield,Massachusetts,MA,Worcester
01516,Douglas,Massachusetts,MA,Worcester
01518,Fiskdale,Massachusetts,MA,Worcester
01519,Grafton,Massachusetts,MA,Worcester
01520,Holden,Massachusetts,MA,Worcester
01521,Holland,Massachusetts,MA,Hampden
01522,Jefferson,Massachusetts,MA,Worcester
01523,Lancaster,Massachusetts,MA,Worcester
01524,Leicester,Massachusetts,MA,Worcester
01525,Linwood,Massachusetts,MA,Worcester
01527,Millbury,Massachusetts,MA,Worcester
01529,Millville,Massachusetts,MA,Worcester
01531,New Braintree,Massachusetts,MA,Worcester
01532,Northborough,Massachusetts,MA,Worcester
01534,Northbridge,Massachusetts,MA,Worcester
01535,North Brookfield,Massachusetts,MA,Worcester
01536,North Grafton,Massachusetts,MA,Worcester
01537,North Oxford,Massachusetts,MA,Worcester
01540,Oxford,Massachusetts,MA,Worcester
01541,Princeton,Massachusetts,MA,Worcester
01542,Rochdale,Massachusetts,MA,Worcester
01543,Rutland,Massachusetts,MA,Worcester
01545,Shrewsbury,Massachusetts,MA,Worcester
01550,Southbridge,Massachusetts,MA,Worcester
01560,South Grafton,Massachusetts,MA,Worcester
01561,South Lancaster,Massachusetts,MA,Worcester
01562,Spencer,Massachusetts,MA,Worcester
01564,Sterling,Massachusetts,MA,Worcester
01566,Sturbridge,Massachusetts,MA,Worcester
01568,Upton,Massachusetts,MA,Worcester
01569,Uxbridge,Massachusetts,MA,Worcester
01570,Webster,Massachusetts,MA,Worcester
01571,Dudley,Massachusetts,MA,Worcester
01581,Westborough,Massachusetts,MA,Worcester
01583,West Boylston,Massachusetts,MA,Worcester
01585,West Brookfield,Massachusetts,MA,Worcester
01588,Whitinsville,Massachusetts,MA,Worcester
01590,Sutton,Massachusetts,MA,Worcester
01602,Worcester,Massachusetts,MA,Worcester
01603,Worcester,Massachusetts,MA,Worcester
01604,Worcester,Massachusetts,MA,Worcester
01605,Worcester,Massachusetts,MA,Worcester
01606,Worcester,Massachusetts,MA,Worcester
01607,Worcester,Massachusetts,MA,Worcester
01608,Worcester,Massachusetts,MA,Worcester
01609,Worcester,Massachusetts,MA,Worcester
01610,Worcester,Massachusetts,MA,Worcester
01611,Cherry Valley,Massachusetts,MA,Worcester
01612,Paxton,Massachusetts,MA,Worcester
01701,Framingham,Massachusetts,MA,Middlesex
01702,Framingham,Massachusetts,MA,Middlesex
01718,Acton,Massachusetts,MA,Middlesex
01719,Boxborough,Massachusetts,MA,Middlesex
01720,Acton,Massachusetts,MA,Middlesex
01721,Ashland,Massachusetts,MA,Middlesex
01730,Bedford,Massachusetts,MA,Middlesex
01731,Hanscom Afb,Massachusetts,MA,Middlesex
01740,Bolton,Massachusetts,MA,Worcester
01741,Carlisle,Massachusetts,MA,Middlesex
01742,Concord,Massachusetts,MA,Middlesex
01745,Fayville,Massachusetts,MA,Worcester
01746,Holliston,Massachusetts,MA,Middlesex
01747,Hopedale,Massachusetts,MA,Worcester
01748,Hopkinton,Massachusetts,MA,Middlesex
01749,Hudson,Massachusetts,MA,Middlesex
01752,Marlborough,Massachusetts,MA,Middlesex
01754,Maynard,Massachusetts,MA,Middlesex
01756,Mendon,Massachusetts,MA,Worcester
01757,Milford,Massachusetts,MA,Worcester
01760,Natick,Massachusetts,MA,Middlesex
01770,Sherborn,Massachusetts,MA,Middlesex
01772,Southborough,Massachusetts,MA,Worcester
01773,Lincoln,Massachusetts,MA,Middlesex
01775,Stow,Massachusetts,MA,Middlesex
01776,Sudbury,Massachusetts,MA,Middlesex
01778,Wayland,Massachusetts,MA,Middlesex
01801,Woburn,Massachusetts,MA,Middlesex
01803,Burlington,Massachusetts,MA,Middlesex
01810,Andover,Massachusetts,MA,Essex
01821,Billerica,Massachusetts,MA,Middlesex
01824,Chelmsford,Massachusetts,MA,Middlesex
01826,Dracut,Massachusetts,MA,Middlesex
01827,Dunstable,Massachusetts,MA,Middlesex
01830,Haverhill,Massachusetts,MA,Essex
01832,Haverhill,Massachusetts,MA,Essex
01833,Georgetown,Massachusetts,MA,Essex
01834,Groveland,Massachusetts,MA,Essex
01835,Haverhill,Massachusetts,MA,Essex
01840,Lawrence,Massachusetts,MA,Essex
01841,Lawrence,Massachusetts,MA,Essex
01843,Lawrence,Massachusetts,MA,Essex
01844,Methuen,Massachusetts,MA,Essex
01845,North Andover,Massachusetts,MA,Essex
01850,Lowell,Massachusetts,MA,Middlesex
01851,Lowell,Massachusetts,MA,Middlesex
01852,Lowell,Massachusetts,MA,Middlesex
01854,Lowell,Massachusetts,MA,Middlesex
01860,Merrimac,Massachusetts,MA,Essex
01862,North Billerica,Massachusetts,MA,Middlesex
01863,North Chelmsford,Massachusetts,MA,Middlesex
01864,North Reading,Massachusetts,MA,Middlesex
01867,Reading,Massachusetts,MA,Middlesex
01876,Tewksbury,Massachusetts,MA,Middlesex
01879,Tyngsboro,Massachusetts,MA,Middlesex
01880,Wakefield,Massachusetts,MA,Middlesex
01886,Westford,Massachusetts,MA,Middlesex
01887,Wilmington,Massachusetts,MA,Middlesex
01890,Winchester,Massachusetts,MA,Middlesex
01901,Lynn,Massachusetts,MA,Essex
01902,Lynn,Massachusetts,MA,Essex
01904,Lynn,Massachusetts,MA,Essex
01905,Lynn,Massachusetts,MA,Essex
01906,Saugus,Massachusetts,MA,Essex
01907,Swampscott,Massachusetts,MA,Essex
01908,Nahant,Massachusetts,MA,Essex
01913,Amesbury,Massachusetts,MA,Essex
01915,Beverly,Massachusetts,MA,Essex
01921,Boxford,Massachusetts,MA,Essex
01922,Byfield,Massachusetts,MA,Essex
01923,Danvers,Massachusetts,MA,Essex
01929,Essex,Massachusetts,MA,Essex
01930,Gloucester,Massachusetts,MA,Essex
01937,Hathorne,Massachusetts,MA,Essex
01938,Ipswich,Massachusetts,MA,Essex
01940,Lynnfield,Massachusetts,MA,Essex
01944,Manchester,Massachusetts,MA,Essex
01945,Marblehead,Massachusetts,MA,Essex
01949,Middleton,Massachusetts,MA,Essex
01950,Newburyport,Massachusetts,MA,Essex
01951,Newbury,Massachusetts,MA,Essex
01952,Salisbury,Massachusetts,MA,Essex
01960,Peabody,Massachusetts,MA,Essex
01966,Rockport,Massachusetts,MA,Essex
01969,Rowley,Massachusetts,MA,Essex
01970,Salem,Massachusetts,MA,Essex
01982,South Hamilton,Massachusetts,MA,Essex
01983,Topsfield,Massachusetts,MA,Essex
01984,Wenham,Massachusetts,MA,Essex
01985,West Newbury,Massachusetts,MA,Essex
02019,Bellingham,Massachusetts,MA,Norfolk
02021,Canton,Massachusetts,MA,Norfolk
02025,Cohasset,Massachusetts,MA,Norfolk
02026,Dedham,Massachusetts,MA,Norfolk
02030,Dover,Massachusetts,MA,Norfolk
02032,East Walpole,Massachusetts,MA,Norfolk
02035,Foxboro,Massachusetts,MA,Norfolk
02038,Franklin,Massachusetts,MA,Norfolk
02043,Hingham,Massachusetts,MA,Plymouth
02045,Hull,Massachusetts,MA,Plymouth
02047,Humarock,Massachusetts,MA,Plymouth
02048,Mansfield,Massachusetts,MA,Bristol
02050,Marshfield,Massachusetts,MA,Plymouth
02052,Medfield,Massachusetts,MA,Norfolk
02053,Medway,Massachusetts,MA,Norfolk
02054,Millis,Massachusetts,MA,Norfolk
02056,Norfolk,Massachusetts,MA,Norfolk
02061,Norwell,Massachusetts,MA,Plymouth
02062,Norwood,Massachusetts,MA,Norfolk
02066,Scituate,Massachusetts,MA,Plymouth
02067,Sharon,Massachusetts,MA,Norfolk
02071,South Walpole,Massachusetts,MA,Norfolk
02072,Stoughton,Massachusetts,MA,Norfolk
02081,Walpole,Massachusetts,MA,Norfolk
02090,Westwood,Massachusetts,MA,Norfolk
02093,Wrentham,Massachusetts,MA,Norfolk
02108,Boston,Massachusetts,MA,Suffolk
02109,Boston,Massachusetts,MA,Suffolk
02110,Boston,Massachusetts,MA,Suffolk
02111,Boston,Massachusetts,MA,Suffolk
02113,Boston,Massachusetts,MA,Suffolk
02114,Boston,Massachusetts,MA,Suffolk
02115,Boston,Massachusetts,MA,Suffolk
02116,Boston,Massachusetts,MA,Suffolk
02118,Boston,Massachusetts,MA,Suffolk
02119,Roxbury,Massachusetts,MA,Suffolk
02120,Roxbury Crossing,Massachusetts,MA,Suffolk
02121,Dorchester,Massachusetts,MA,Suffolk
02122,Dorchester,Massachusetts,MA,Suffolk
02124,Dorchester Center,Massachusetts,MA,Suffolk
02125,Dorchester,Massachusetts,MA,Suffolk
02126,Mattapan,Massachusetts,MA,Suffolk
02127,South Boston,Massachusetts,MA,Suffolk
02128,East Boston,Massachusetts,MA,Suffolk
02129,Charlestown,Massachusetts,MA,Suffolk
02130,Jamaica Plain,Massachusetts,MA,Suffolk
02131,Roslindale,Massachusetts,MA,Suffolk
02132,West Roxbury,Massachusetts,MA,Suffolk
02134,Allston,Massachusetts,MA,Suffolk
02135,Brighton,Massachusetts,MA,Suffolk
02136,Hyde Park,Massachusetts,MA,Suffolk
02138,Cambridge,Massachusetts,MA,Middlesex
02139,Cambridge,Massachusetts,MA,Middlesex
02140,Cambridge,Massachusetts,MA,Middlesex
02141,Cambridge,Massachusetts,MA,Middlesex
02142,Cambridge,Massachusetts,MA,Middlesex
02143,Somerville,Massachusetts,MA,Middlesex
02144,Somerville,Massachusetts,MA,Middlesex
02145,Somerville,Massachusetts,MA,Middlesex
02148,Malden,Massachusetts,MA,Middlesex
02149,Everett,Massachusetts,MA,Middlesex
02150,Chelsea,Massachusetts,MA,Suffolk
02151,Revere,Massachusetts,MA,Suffolk
02152,Winthrop,Massachusetts,MA,Suffolk
02155,Medford,Massachusetts,MA,Middlesex
02163,Boston,Massachusetts,MA,Suffolk
02169,Quincy,Massachusetts,MA,Norfolk
02170,Quincy,Massachusetts,MA,Norfolk
02171,Quincy,Massachusetts,MA,Norfolk
02176,Melrose,Massachusetts,MA,Middlesex
02180,Stoneham,Massachusetts,MA,Middlesex
02184,Braintree,Massachusetts,MA,Norfolk
02186,Milton,Massachusetts,MA,Norfolk
02188,Weymouth,Massachusetts,MA,Norfolk
02189,East Weymouth,Massachusetts,MA,Norfolk
02190,South Weymouth,Massachusetts,MA,Norfolk
02191,North Weymouth,Massachusetts,MA,Norfolk
02199,Boston,Massachusetts,MA,Suffolk
02203,Boston,Massachusetts,MA,Suffolk
02210,Boston,Massachusetts,MA,Suffolk
02215,Boston,Massachusetts,MA,Suffolk
02301,Brockton,Massachusetts,MA,Plymouth
02302,Brockton,Massachusetts,MA,Plymouth
02322,Avon,Massachusetts,MA,Norfolk
02324,Bridgewater,Massachusetts,MA,Plymouth
02330,Carver,Massachusetts,MA,Plymouth
02332,Duxbury,Massachusetts,MA,Plymouth
02333,East Bridgewater,Massachusetts,MA,Plymouth
02338,Halifax,Massachusetts,MA,Plymouth
02339,Hanover,Massachusetts,MA,Plymouth
02341,Hanson,Massachusetts,MA,Plymouth
02343,Holbrook,Massachusetts,MA,Norfolk
02346,Middleboro,Massachusetts,MA,Plymouth
02347,Lakeville,Massachusetts,MA,Plymouth
02351,Abington,Massachusetts,MA,Plymouth
02356,North Easton,Massachusetts,MA,Bristol
02357,North Easton,Massachusetts,MA,Bristol
02359,Pembroke,Massachusetts,MA,Plymouth
02360,Plymouth,Massachusetts,MA,Plymouth
02364,Kingston,Massachusetts,MA,Plymouth
02366,South Carver,Massachusetts,MA,Plymouth
02367,Plympton,Massachusetts,MA,Plymouth
02368,Randolph,Massachusetts,MA,Norfolk
02370,Rockland,Massachusetts,MA,Plymouth
02375,South Easton,Massachusetts,MA,Bristol
02379,West Bridgewater,Massachusetts,MA,Plymouth
02382,Whitman,Massachusetts,MA,Plymouth
02420,Lexington,Massachusetts,MA,Middlesex
02421,Lexington,Massachusetts,MA,Middlesex
02445,Brookline,Massachusetts,MA,Norfolk
02446,Brookline,Massachusetts,MA,Norfolk
02451,Waltham,Massachusetts,MA,Middlesex
02452,Waltham,Massachusetts,MA,Middlesex
02453,Waltham,Massachusetts,MA,Middlesex
02457,Babson Park,Massachusetts,MA,Norfolk
02458,Newton,Massachusetts,MA,Middlesex
02459,Newton Center,Massachusetts,MA,Middlesex
02460,Newtonville,Massachusetts,MA,Middlesex
02461,Newton Highlands,Massachusetts,MA,Middlesex
02462,Newton Lower Falls,Massachusetts,MA,Middlesex
02464,Newton Upper Falls,Massachusetts,MA,Middlesex
02465,West Newton,Massachusetts,MA,Middlesex
02466,Auburndale,Massachusetts,MA,Middlesex
02467,Chestnut Hill,Massachusetts,MA,Norfolk
02468,Waban,Massachusetts,MA,Middlesex
02472,Watertown,Massachusetts,MA,Middlesex
02474,Arlington,Massachusetts,MA,Middlesex
02476,Arlington,Massachusetts,MA,Middlesex
02478,Belmont,Massachusetts,MA,Middlesex
02481,Wellesley Hills,Massachusetts,MA,Norfolk
02482,Wellesley,Massachusetts,MA,Norfolk
02492,Needham,Massachusetts,MA,Norfolk
02493,Weston,Massachusetts,MA,Middlesex
02494,Needham Heights,Massachusetts,MA,Norfolk
02532,Buzzards Bay,Massachusetts,MA,Barnstable
02534,Cataumet,Massachusetts,MA,Barnstable
02535,Chilmark,Massachusetts,MA,Dukes
02536,East Falmouth,Massachusetts,MA,Barnstable
